1 2 2 | draw
0 2 1 | draw
2 0 0 | draw
0 0 0 | draw
2 0 0 | draw
1 0 0 | first
0 0 1 | third
1 0 0 | first
1 0 0 | first
1 1 1 | draw
2 1 1 | first
2 1 0 | draw
0 1 1 | draw
2 2 2 | draw
1 2 0 | draw
1 0 0 | first
1 0 0 | first
2 1 0 | draw
0 1 1 | draw
0 1 2 | draw
2 2 2 | draw
0 1 0 | second
0 2 2 | first
1 1 1 | draw
2 0 0 | draw
1 0 0 | first
2 2 2 | draw
0 0 2 | draw
1 0 0 | first
0 2 2 | first
1 2 0 | draw
0 1 2 | draw
0 1 1 | draw
0 2 2 | first
1 1 1 | draw
2 0 2 | second
1 1 1 | draw
2 1 0 | draw
2 1 1 | first
1 0 2 | draw
0 1 0 | second
2 2 1 | draw
2 2 2 | draw
2 2 0 | third
1 0 1 | draw
2 1 0 | draw
0 2 0 | draw
1 2 0 | draw
0 0 2 | draw
2 2 2 | draw
0 0 0 | draw
1 1 0 | draw
0 0 1 | third
1 2 1 | second
1 2 1 | second
1 2 0 | draw
2 1 0 | draw
2 2 2 | draw
2 1 2 | draw
0 0 0 | draw
2 0 2 | second
1 0 2 | draw
0 1 1 | draw
1 2 1 | second
2 1 0 | draw
1 1 2 | third
1 0 0 | first
0 0 1 | third
0 1 1 | draw
0 0 1 | third
1 1 2 | third
0 1 1 | draw
1 1 1 | draw
0 0 1 | third
1 2 2 | draw
0 1 2 | draw
0 1 2 | draw
2 2 1 | draw
1 1 1 | draw
0 2 0 | draw
2 2 1 | draw
1 0 0 | first
0 1 1 | draw
0 0 0 | draw
1 1 0 | draw
1 1 2 | third
2 2 2 | draw
0 0 2 | draw
1 1 2 | third
1 1 2 | third
0 2 2 | first
2 1 0 | draw
2 1 2 | draw
2 2 1 | draw
1 2 0 | draw
1 1 1 | draw
0 2 1 | draw
2 2 0 | third
1 0 0 | first
2 1 1 | first
0 1 1 | draw
1 2 0 | draw
2 1 1 | first
0 2 0 | draw
0 0 0 | draw
2 0 2 | second
2 0 0 | draw
2 0 2 | second
0 1 1 | draw
2 1 2 | draw
1 2 2 | draw
0 2 2 | first
0 0 1 | third
2 1 2 | draw
0 2 1 | draw
0 1 0 | second
0 2 0 | draw
0 1 1 | draw
2 2 1 | draw
2 0 1 | draw
0 1 0 | second
2 1 2 | draw
0 0 0 | draw
0 2 2 | first
2 0 0 | draw
2 2 1 | draw
2 1 1 | first
0 0 1 | third
1 0 0 | first
2 0 0 | draw
2 1 0 | draw
2 0 1 | draw
2 0 0 | draw
1 0 1 | draw
2 2 2 | draw
1 1 1 | draw
2 1 2 | draw
1 1 0 | draw
1 0 0 | first
2 2 1 | draw
2 1 0 | draw
0 2 1 | draw
0 0 0 | draw
2 0 1 | draw
1 2 1 | second
2 2 1 | draw
0 2 0 | draw
2 1 1 | first
2 2 0 | third
0 0 0 | draw
1 0 2 | draw
2 1 1 | first
2 0 2 | second
0 1 0 | second
2 1 1 | first
0 2 0 | draw
0 2 0 | draw
2 1 1 | first
2 0 1 | draw
1 0 1 | draw
1 2 0 | draw
0 1 2 | draw
1 1 0 | draw
2 2 2 | draw
2 2 1 | draw
1 1 2 | third
1 2 1 | second
2 2 2 | draw
0 1 2 | draw
0 0 2 | draw
0 1 2 | draw
1 0 0 | first
0 2 0 | draw
0 1 1 | draw
1 0 2 | draw
0 0 1 | third
1 1 1 | draw
2 0 2 | second
0 0 2 | draw
2 0 2 | second
2 0 2 | second
2 2 0 | third
2 1 0 | draw
0 2 1 | draw
0 1 2 | draw
0 1 1 | draw
2 2 0 | third
1 1 2 | third
0 0 0 | draw
0 0 2 | draw
1 0 2 | draw
2 0 1 | draw
1 0 2 | draw
0 0 1 | third
1 1 2 | third
2 2 2 | draw
2 0 0 | draw
1 1 0 | draw
0 2 2 | first
0 0 1 | third
0 1 2 | draw
0 0 2 | draw
0 1 2 | draw
2 1 0 | draw
1 2 2 | draw
2 2 1 | draw
2 0 2 | second
0 0 2 | draw
1 2 0 | draw
1 2 1 | second
1 2 0 | draw
2 1 0 | draw
1 0 0 | first
0 2 2 | first
2 1 2 | draw
1 0 2 | draw
1 0 2 | draw
1 2 2 | draw
2 2 1 | draw
0 0 1 | third
1 1 2 | third
0 0 0 | draw
0 2 1 | draw
0 2 1 | draw
2 0 1 | draw
2 2 1 | draw
0 1 1 | draw
1 2 1 | second
1 2 2 | draw
0 0 1 | third
2 0 1 | draw
2 2 1 | draw
2 2 1 | draw
0 1 0 | second
0 2 1 | draw
0 0 1 | third
1 2 2 | draw
2 2 1 | draw
2 0 2 | second
0 2 1 | draw
0 0 1 | third
2 0 1 | draw
0 1 2 | draw
2 2 1 | draw
1 2 1 | second
0 2 2 | first
0 1 2 | draw
0 1 2 | draw
2 2 1 | draw
2 1 2 | draw
1 0 1 | draw
1 2 2 | draw
0 1 0 | second
0 2 1 | draw
1 2 2 | draw
1 0 1 | draw
0 0 2 | draw
0 0 0 | draw
1 2 1 | second
0 2 1 | draw
1 1 0 | draw
1 0 2 | draw
0 1 0 | second
0 0 2 | draw
2 2 1 | draw
1 1 1 | draw
2 1 1 | first
0 1 0 | second
2 2 0 | third
0 2 2 | first
0 0 1 | third
0 1 2 | draw
2 1 1 | first
0 2 0 | draw
1 2 2 | draw
1 2 2 | draw
0 0 0 | draw
2 1 0 | draw
0 2 2 | first
1 1 2 | third
1 2 1 | second
0 2 2 | first
1 2 0 | draw
1 2 2 | draw
0 1 2 | draw
1 1 0 | draw
0 2 1 | draw
0 1 1 | draw
1 2 1 | second
1 1 0 | draw
2 0 2 | second
1 2 2 | draw
1 1 0 | draw
2 1 0 | draw
2 0 2 | second
0 1 1 | draw
1 1 2 | third
1 2 1 | second
0 2 2 | first
2 1 1 | first
1 2 1 | second
2 2 0 | third
0 2 1 | draw
2 2 0 | third
2 0 2 | second
2 2 2 | draw
2 2 2 | draw
2 0 2 | second
0 2 0 | draw
0 2 2 | first
2 1 0 | draw
1 1 1 | draw
0 2 2 | first
1 2 0 | draw
1 0 0 | first
2 2 0 | third
1 1 2 | third
2 0 1 | draw
0 0 1 | third
0 0 2 | draw
0 1 0 | second
1 1 2 | third
2 2 2 | draw
1 1 1 | draw
1 0 1 | draw
0 1 1 | draw
1 2 1 | second
1 0 0 | first
1 1 0 | draw
2 2 0 | third
2 1 0 | draw
2 0 0 | draw
1 1 0 | draw
0 2 0 | draw
0 2 0 | draw
2 2 0 | third
0 2 2 | first
0 0 0 | draw
2 0 2 | second
1 2 0 | draw
1 2 1 | second
1 0 2 | draw
1 2 2 | draw
2 1 0 | draw
2 2 2 | draw
0 0 0 | draw
0 0 0 | draw
0 0 2 | draw
0 2 1 | draw
2 2 0 | third
1 2 0 | draw
0 1 1 | draw
1 1 0 | draw
1 0 1 | draw
2 2 2 | draw
0 0 1 | third
1 1 1 | draw
2 0 0 | draw
0 2 1 | draw
2 1 0 | draw
2 2 1 | draw
0 2 2 | first
1 1 1 | draw
2 1 0 | draw
1 0 0 | first
0 1 1 | draw
1 2 2 | draw
1 2 1 | second
1 1 0 | draw
1 1 0 | draw
2 1 2 | draw
2 2 0 | third
0 2 1 | draw
0 0 2 | draw
0 2 2 | first
0 1 1 | draw
0 1 1 | draw
1 2 2 | draw
1 2 1 | second
1 1 1 | draw
0 2 2 | first
2 1 2 | draw
2 0 0 | draw
2 1 0 | draw
1 0 1 | draw
2 1 2 | draw
2 0 2 | second
1 2 1 | second
2 0 0 | draw
2 0 1 | draw
2 2 1 | draw
2 2 0 | third
2 2 2 | draw
0 0 0 | draw
0 0 2 | draw
2 2 0 | third
2 2 0 | third
0 2 2 | first
1 1 1 | draw
2 2 0 | third
2 2 0 | third
1 1 0 | draw
2 0 2 | second
2 0 2 | second
1 0 0 | first
1 1 0 | draw
2 1 1 | first
0 2 1 | draw
1 1 2 | third
0 1 2 | draw
2 0 1 | draw
1 2 2 | draw
1 1 0 | draw
2 2 2 | draw
0 1 1 | draw
1 0 0 | first
2 2 0 | third
2 0 1 | draw
2 0 1 | draw
2 1 1 | first
2 1 0 | draw
1 1 1 | draw
0 2 2 | first
2 2 0 | third
1 1 2 | third
2 1 0 | draw
2 0 2 | second
0 0 2 | draw
0 0 0 | draw
0 1 1 | draw
0 0 0 | draw
2 1 1 | first
1 1 1 | draw
2 1 2 | draw
1 1 1 | draw
1 2 0 | draw
0 1 0 | second
1 0 2 | draw
2 2 0 | third
1 2 2 | draw
0 0 1 | third
1 2 0 | draw
2 2 2 | draw
2 0 1 | draw
1 1 0 | draw
1 1 2 | third
1 1 1 | draw
2 0 0 | draw
2 1 2 | draw
1 0 2 | draw
0 0 0 | draw
1 2 0 | draw
2 2 1 | draw
1 1 2 | third
1 0 2 | draw
2 0 2 | second
2 0 1 | draw
2 0 2 | second
1 1 1 | draw
0 0 2 | draw
1 0 1 | draw
2 0 2 | second
2 1 0 | draw
0 1 2 | draw
2 2 1 | draw
1 0 1 | draw
0 2 1 | draw
2 0 2 | second
2 1 2 | draw
1 0 2 | draw
2 2 0 | third
2 0 0 | draw
2 2 2 | draw
1 1 1 | draw
1 2 0 | draw
0 0 1 | third
1 1 1 | draw
1 0 1 | draw
2 0 1 | draw
1 1 0 | draw
0 0 1 | third
0 2 2 | first
1 1 2 | third
1 0 0 | first
1 0 0 | first
2 1 2 | draw
0 2 2 | first
2 0 1 | draw
2 2 2 | draw
0 0 1 | third
1 2 0 | draw
2 1 0 | draw
0 1 2 | draw
2 1 1 | first
1 0 2 | draw
1 0 1 | draw
1 1 2 | third
2 2 1 | draw
2 2 2 | draw
2 1 2 | draw
1 0 0 | first
1 0 1 | draw
0 0 0 | draw
2 0 2 | second
2 1 1 | first
2 2 0 | third
0 1 1 | draw
2 2 2 | draw
2 1 1 | first
1 2 0 | draw
1 2 1 | second
2 1 0 | draw
1 1 0 | draw
0 1 1 | draw
1 0 1 | draw
1 1 2 | third
1 1 0 | draw
2 2 0 | third
2 0 1 | draw
1 1 0 | draw
0 1 2 | draw
1 0 1 | draw
2 0 0 | draw
1 2 0 | draw
2 0 0 | draw
2 2 2 | draw
1 2 0 | draw
0 0 1 | third
0 0 1 | third
0 1 1 | draw
1 2 2 | draw
1 2 1 | second
0 2 1 | draw
0 2 0 | draw
2 0 2 | second
2 1 0 | draw
1 2 2 | draw
2 1 0 | draw
0 1 2 | draw
2 2 0 | third
1 1 0 | draw
2 2 2 | draw
0 2 1 | draw
1 2 2 | draw
2 2 2 | draw
1 1 1 | draw
1 2 2 | draw
1 2 1 | second
2 2 1 | draw
1 0 0 | first
1 0 0 | first
1 2 2 | draw
2 1 2 | draw
2 0 1 | draw
2 1 2 | draw
0 1 2 | draw
0 0 0 | draw
2 1 1 | first
0 0 0 | draw
1 1 2 | third
2 1 2 | draw
2 0 1 | draw
1 1 2 | third
2 0 0 | draw
0 2 0 | draw
0 0 2 | draw
1 1 1 | draw
0 2 0 | draw
2 2 2 | draw
1 1 2 | third
0 1 2 | draw
1 0 0 | first
2 0 1 | draw
0 0 2 | draw
2 2 0 | third
0 2 2 | first
2 2 2 | draw
0 0 0 | draw
1 0 1 | draw
2 0 1 | draw
2 2 2 | draw
0 0 0 | draw
0 2 0 | draw
1 1 1 | draw
0 1 0 | second
1 2 2 | draw
0 0 1 | third
0 0 1 | third
0 0 2 | draw
2 1 0 | draw
1 2 1 | second
0 1 2 | draw
2 2 2 | draw
2 0 2 | second
0 1 0 | second
0 2 0 | draw
1 2 1 | second
1 2 0 | draw
0 0 1 | third
0 1 0 | second
1 2 1 | second
2 2 1 | draw
0 1 2 | draw
2 0 2 | second
2 2 2 | draw
1 2 2 | draw
0 0 2 | draw
0 0 2 | draw
1 0 2 | draw
0 0 2 | draw
1 1 0 | draw
2 1 2 | draw
0 1 2 | draw
1 1 2 | third
0 0 2 | draw
2 0 2 | second
2 0 0 | draw
0 2 1 | draw
0 2 2 | first
0 1 0 | second
1 0 0 | first
2 2 0 | third
1 0 1 | draw
2 2 1 | draw
1 0 1 | draw
2 1 0 | draw
2 2 0 | third
2 1 1 | first
2 0 1 | draw
2 2 0 | third
1 0 0 | first
1 0 0 | first
2 0 2 | second
1 0 2 | draw
0 0 0 | draw
1 2 0 | draw
0 0 2 | draw
1 2 1 | second
1 2 0 | draw
2 0 1 | draw
1 1 1 | draw
1 2 1 | second
2 0 2 | second
1 2 1 | second
0 1 0 | second
1 2 2 | draw
1 2 2 | draw
1 0 1 | draw
0 2 2 | first
1 0 0 | first
0 0 1 | third
2 2 1 | draw
2 2 1 | draw
2 1 0 | draw
1 1 1 | draw
2 1 2 | draw
2 0 0 | draw
0 2 0 | draw
2 0 2 | second
2 2 2 | draw
0 1 2 | draw
1 0 1 | draw
2 1 2 | draw
1 0 1 | draw
0 0 0 | draw
2 1 0 | draw
1 1 0 | draw
2 1 2 | draw
1 0 2 | draw
1 1 2 | third
0 2 1 | draw
1 0 0 | first
1 0 0 | first
2 1 2 | draw
2 0 0 | draw
1 2 1 | second
1 1 2 | third
2 2 2 | draw
0 2 0 | draw
2 1 2 | draw
2 2 0 | third
0 2 1 | draw
0 1 2 | draw
2 2 1 | draw
2 1 1 | first
0 0 0 | draw
1 1 0 | draw
2 1 0 | draw
2 2 2 | draw
1 2 2 | draw
0 2 1 | draw
2 1 2 | draw
1 0 0 | first
2 2 0 | third
1 1 2 | third
2 0 0 | draw
2 0 2 | second
1 1 1 | draw
0 1 2 | draw
2 0 1 | draw
2 1 0 | draw
0 0 2 | draw
1 1 1 | draw
2 1 2 | draw
0 2 2 | first
0 0 2 | draw
0 2 1 | draw
0 2 0 | draw
1 0 1 | draw
0 0 1 | third
1 1 0 | draw
1 1 2 | third
1 1 0 | draw
1 1 0 | draw
1 0 2 | draw
1 2 0 | draw
0 0 1 | third
0 2 1 | draw
1 1 0 | draw
1 0 0 | first
2 2 0 | third
2 2 0 | third
1 2 0 | draw
0 1 1 | draw
0 0 1 | third
0 1 1 | draw
1 0 1 | draw
2 1 2 | draw
0 2 2 | first
0 0 2 | draw
2 1 0 | draw
1 0 2 | draw
2 2 0 | third
2 1 0 | draw
0 0 1 | third
1 2 1 | second
1 1 1 | draw
1 2 0 | draw
1 0 1 | draw
2 1 0 | draw
1 0 1 | draw
2 2 1 | draw
0 1 2 | draw
2 2 2 | draw
2 1 2 | draw
1 2 1 | second
0 0 1 | third
2 2 2 | draw
1 2 1 | second
2 2 1 | draw
0 1 2 | draw
1 0 1 | draw
0 2 0 | draw
2 0 0 | draw
0 2 1 | draw
0 2 0 | draw
2 0 1 | draw
2 1 0 | draw
0 0 1 | third
2 2 0 | third
1 2 2 | draw
2 1 2 | draw
2 1 1 | first
1 2 1 | second
1 0 1 | draw
0 1 2 | draw
0 1 2 | draw
2 1 2 | draw
1 1 1 | draw
1 2 1 | second
1 1 2 | third
2 0 2 | second
1 0 0 | first
1 2 1 | second
2 2 0 | third
0 0 0 | draw
0 2 2 | first
1 0 2 | draw
0 1 1 | draw
2 0 2 | second
1 1 0 | draw
2 0 1 | draw
